来源,标题,开始时间,结束时间,链接
﻿货物,云南丽江七河（49.5MW）风电项目 110KV升压站开关柜采购项目【二次挂网】招标公告,2019-04-03 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27987.jhtml
﻿货物,国电浙江北仑第一（三）发电有限公司2019年度液氨采购项目招标公告,2019-04-02 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27911.jhtml
﻿货物,国电浙江北仑第一发电有限公司高喷射消防车采购项目招标公告,2019-04-02 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27916.jhtml
﻿货物,固安华电天仁控制设备有限公司2019年进口超级电容招标公告,2019-04-01 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27935.jhtml
﻿货物,国电福州发电有限公司1、2#机组火检系统改造物资招标采购招标公告,2019-03-31 09:00,2019-04-09 16:00,http://www.cgdcbidding.com:80/ggsb/27940.jhtml
﻿货物,江苏龙源催化剂有限公司2019 年偏钒酸铵（纯度 99.5%）【二次挂网】招标公告,2019-04-02 09:00,2019-04-11 16:00,http://www.cgdcbidding.com:80/ggsb/27941.jhtml
﻿货物,国电开远发电有限公司湿法脱硫石灰石采购【四次挂网】招标公告,2019-04-03 09:00,2019-04-12 16:00,http://www.cgdcbidding.com:80/ggsb/27947.jhtml
﻿货物,国电开远、阳宗海发电有限公司尿素采购【三次挂网】招标公告,2019-04-03 09:00,2019-04-12 16:00,http://www.cgdcbidding.com:80/ggsb/27948.jhtml
﻿货物,国电阳宗海发电有限公司空预器、凝汽器、脱水仓高压水清洗【二次挂网】招标公告,2019-04-03 09:00,2019-04-12 16:00,http://www.cgdcbidding.com:80/ggsb/27949.jhtml
﻿货物,北京朗新明环保科技有限公司南京分公司丰城全厂废水综合治理非标设备招标公告,2019-04-02 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27950.jhtml
﻿货物,辽宁阜新鸡冠山（44MW）风电项目开关柜设备招标公告,2019-03-30 09:00,2019-04-05 16:00,http://www.cgdcbidding.com:80/ggsb/27886.jhtml
﻿货物,宁夏盐池西大井（50MW）风电项目电力电缆招标公告,2019-03-30 09:00,2019-04-05 16:00,http://www.cgdcbidding.com:80/ggsb/27890.jhtml
﻿货物,辽宁阜新鸡冠山（44MW）风电项目一次设备招标公告,2019-03-30 09:00,2019-04-05 16:00,http://www.cgdcbidding.com:80/ggsb/27901.jhtml
﻿货物,辽宁阜新鸡冠山（44MW）风电项目箱变（设备）招标公告,2019-03-30 09:00,2019-04-05 16:00,http://www.cgdcbidding.com:80/ggsb/27902.jhtml
﻿货物,辽宁阜新鸡冠山（44MW）风电项目无功补偿设备招标公告,2019-03-30 09:00,2019-04-05 16:00,http://www.cgdcbidding.com:80/ggsb/27906.jhtml
﻿货物,北京国电龙源环保工程有限公司2019-2020年度本部劳务外包框架采购【二次挂网】招标公告,2019-03-29 09:00,2019-04-04 16:00,http://www.cgdcbidding.com:80/ggsb/27908.jhtml
﻿货物,固安华电天仁控制设备有限公司2019年国产超级电容招标公告,2019-04-01 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27909.jhtml
﻿货物,固安华电天仁控制设备有限公司2019年下半年机箱及散件招标公告,2019-04-01 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27910.jhtml
﻿货物,锡林郭勒蒙东锗业科技有限公司（锗冶炼厂）干燥系统【三次挂网】招标公告,2019-03-29 09:00,2019-04-04 16:00,http://www.cgdcbidding.com:80/ggsb/27928.jhtml
﻿货物,国电榆次热电有限公司#2炉引风机采购【二次挂网】招标公告,2019-03-29 09:00,2019-04-08 16:00,http://www.cgdcbidding.com:80/ggsb/27861.jhtml
﻿货物,国电永福发电有限公司输煤、输灰系统机务设备维修项目（三年）招标公告,2019-03-28 09:00,2019-04-08 16:00,http://www.cgdcbidding.com:80/ggsb/27863.jhtml
﻿货物,国电建投内蒙古能源有限公司水平衡优化及废水零排放EPC项目招标公告,2019-03-29 09:00,2019-04-08 16:00,http://www.cgdcbidding.com:80/ggsb/27876.jhtml
﻿货物,宁夏英力特化工股份有限公司2019年停车检修CPVC管道管件采购招标公告,2019-03-27 09:00,2019-04-04 16:00,http://www.cgdcbidding.com:80/ggsb/27877.jhtml
﻿货物,国电联合动力技术有限公司海上风电机组研发项目仿真中心大屏展示系统招标公告,2019-03-27 09:00,2019-04-04 16:00,http://www.cgdcbidding.com:80/ggsb/27878.jhtml
﻿货物,四川大渡河双江口水电站水轮发电机组及其附属设备采购招标公告,2019-03-29 09:00,2019-04-10 16:00,http://www.cgdcbidding.com:80/ggsb/27883.jhtml
